trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.5, 'e': 0.9962703590608074}",25,0,-110.09498873909435,"{0: 13, 1: 5, 2: 4, 3: 3, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.9961335910722054}",30,0,-67.91321309613782,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9959943652114951}",25,0,-171.99672887016965,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.995852681822204}",30,0,-189.97888733444483,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
59,False,"{'a': 0.5, 'e': 0.9957085412539235}",20,0,-129.36762666649793,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.9955619438623077}",20,0,-89.15677530154683,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.9954128900090727}",20,10,-18.67532803852061,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.9952613800619959}",25,0,-179.78502441015038,"{0: 10, 1: 5, 2: 7, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9951074143949149}",30,0,-154.91955270031593,"{0: 19, 1: 0, 2: 7, 3: 3, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9949509933877262}",20,0,-81.12421798968134,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9947921174263851}",30,13,-18.704827628595613,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.994630786902904}",20,11,17.056877663822576,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.9944670022153517}",25,0,-121.28508934644145,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.9943007637678526}",25,0,-94.5121046256709,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.9941320719705855}",25,14,3.660376627526584,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.9939609272397826}",30,0,-359.64054693043704,"{0: 11, 1: 5, 2: 5, 3: 3, 4: 6}",0
