trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.5, 'e': 0.9983418088610552}",25,0,-128.86113894017222,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
57,False,"{'a': 0.5, 'e': 0.9982809802775726}",20,0,-165.01027371881617,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.9982190569514751}",20,0,-101.42109291171872,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9981560389506693}",25,0,-114.02119667282956,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.9980919263442626}",25,8,-45.14496113109188,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.9980267192025625}",20,0,-105.92766344923302,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.9979604175970772}",25,0,-63.63457571211585,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.9978930216005146}",30,0,-193.13966124932995,"{0: 17, 1: 0, 2: 9, 3: 2, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.9978245312867834}",20,0,-197.95061626863662,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.9977549467309916}",20,0,-78.30324031215609,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.9976842680094478}",25,0,-189.15408823824,"{0: 10, 1: 3, 2: 7, 3: 4, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.9976124951996601}",30,4,-160.2391443965633,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 2}",1
68,False,"{'a': 0.5, 'e': 0.9975396283803366}",20,0,-238.9620169971941,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 5}",0
69,False,"{'a': 0.5, 'e': 0.9974656676313851}",25,0,-109.6112756820436,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.997390613033913}",25,0,-73.38683856036566,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.9973144646702272}",25,0,-146.05149324135252,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.9972372226238342}",30,0,-123.36827991725961,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.9971588869794398}",25,0,-60.34353145683735,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9970794578229488}",25,0,-106.19258193956631,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.9969989352414657}",30,0,-258.1824898607323,"{0: 15, 1: 2, 2: 8, 3: 1, 4: 4}",0
76,False,"{'a': 0.5, 'e': 0.9969173193232936}",35,0,-236.9632630775883,"{0: 20, 1: 1, 2: 10, 3: 0, 4: 4}",0
77,False,"{'a': 0.5, 'e': 0.996834610157935}",20,0,-193.11117614693464,"{0: 9, 1: 3, 2: 3, 3: 2, 4: 3}",0
78,False,"{'a': 0.5, 'e': 0.9967508078360907}",20,0,-59.44536009100665,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.9966659124496611}",25,0,-102.98555996307128,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.9965799240917445}",20,0,-171.21665316145254,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.9964928428566382}",25,0,-51.668606826774194,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.996404668839838}",25,0,-86.5481954364009,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.9963154021380378}",30,0,-271.2813034633959,"{0: 13, 1: 4, 2: 7, 3: 2, 4: 4}",0
84,False,"{'a': 0.5, 'e': 0.9962250428491302}",30,0,-204.59344920404146,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
85,False,"{'a': 0.5, 'e': 0.9961335910722054}",20,0,-90.83439727208383,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.9960410469075522}",35,0,-274.54411749708987,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 5}",0
87,False,"{'a': 0.5, 'e': 0.9959474104566569}",20,0,-77.32062906233055,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
